model,strength,accuracy,asr
Random Forest,10%,0.9943333333333333,0.009364548494983277
Random Forest,30%,0.9496666666666667,0.09832775919732442
Random Forest,50%,0.8453333333333334,0.3063545150501672
Naive Bayes,10%,0.997,0.006020066889632107
Naive Bayes,30%,0.96,0.0802675585284281
Naive Bayes,50%,0.897,0.2040133779264214
SVM,10%,0.9876666666666667,0.024080267558528427
SVM,30%,0.871,0.2568561872909699
SVM,50%,0.7483333333333333,0.5036789297658862
Logistic Regression,10%,0.9873333333333333,0.025418060200668897
Logistic Regression,30%,0.87,0.2608695652173913
Logistic Regression,50%,0.7346666666666667,0.5324414715719064
XGBoost,10%,0.9726666666666667,0.04882943143812709
XGBoost,30%,0.892,0.20334448160535118
XGBoost,50%,0.804,0.37926421404682276
